questions,Equations,,
Two persons are walking towards each other on a walking path that is 20 miles long. One is walking at the rate of 3 mph and the other at 4 mph. After how much time will they meet each other?,d/3 = (20-d)/4,t=d/3,
"A boat covers a certain distance in 2 hours, while it comes back in 3 hours. If the speed of the stream is 4 kmph, what is the boat’s speed in still water?",2(s+4) = 3(s-4) → s=20,,
"A cyclist travels for 3 hours, travelling for the first half of the journey at 12 mph and the second half at 15 mph. Find the total distance he covered.",(d/2)/12 + (d/2)/15 = 3,,
Walking at the rate of 4 kmph a man cover certain distance in 2 hr 45 min. Running at a speed of 16.5 kmph the man will cover the same distance in.,t = 165*4/16.5,,
Two trains starting at the same time from 2 stations 200 km apart and going in opposite direction cross each other at a distance of 110 km from one of the stations. What is the ratio of their speeds?,110/90,,
"A train covers a distance in 50 min, if it runs at a speed of 48 kmph on an average. The speed at which the train must run to reduce the time of journey to 40 min will be.",s = 48*50/40,,
Sachin can cover a distance in 1hr 24 min by covering 2/3 of the distance at 4 kmph and the rest at 5 kmph. The total distance is?,21/5=(2/3)*D/4+(1/3)*D/5,,
A passenger train takes two hours less for a journey of 300 km if its speed is increased by 5 km/hr from its normal speed. The normal speed is:,300/s -2 = 300/(s+5),,
"A train covers a distance in 100 min, if it runs at a speed of 48kmph on an average. The speed at which the train must run to reduce the time of journey to 40 min will be:",s = 48*100/40,,
A good train and a passenger train are running on parallel tracks in the same direction. The driver of the goods train observes that the passenger train coming from behind overtakes and crosses his train completely in 60 sec. Whereas a passenger on the passenger train marks that he crosses the goods train in 40 sec. If the speeds of the trains be in the ratio 1:2. Find the ratio of their lengths.,(p+g)/p = 60/40,,
"A race course is 400 m long. AA and BB run a race and AA wins by 5m. BB and CC run over the same course and BB win by 4m. CC and DD run over it and DD wins by 16m. If AA and DD run over it, then who would win and by how much?",400/v2 - 400/v1 = 5, 400/v3 - 400/v2 = 4, 400/v4 - 400/v3 = 16. 400/v1 - 400/v4 = ?
The jogging track in a sports complex is 726 m in circumference. Suresh and his wife start from the same point and walk in opposite direction at 4.5 km/hr and 3.75 km/hr respectively. They will meet for the first time in:,4500*T/60+3750*T/60=726,,
"A train starts from Delhi at 6:00 am and reaches Ambala cantt. at 10am. The other train starts from Ambala cantt. at 8am and reached Delhi at 11:30 am, If the distance between Delhi and Ambala cantt is 200 km, then at what time did the two trains meet each other?","(t - 6)*50 = x; (t-8)*(200/3.5) = 200 - x, i.e. (t-6)*50 + (t-8)*(200/3.5) = 200. Add 6 to t to find the answer",,
Two stations AA and BB are 110 km apart on a straight line. One train starts from AA at 7 am and travel towards BB at 20 km/hr speed. Another train starts from BB at 8 am and travel towards AA at 25 km/hr speed. At what time will they meet?,,,
A man can row 4.5 km/hr in still water and he finds that it takes him twice as long to row up as to row down the river. Find the rate of the stream.,y/(4.5-x) = 2*y/(4.5+x),,
"The circumference of the front wheel of a cart is 40 ft long and that of the back wheel is 48 ft long. What is the distance travelled by the cart, when the front wheel has done five more revolutions than the rear wheel?",x/40-x/48 =5,,
A train 120 m in length passes a pole in 12sec and another train of length 100 m travelling in opposite direction in 10 sec. Find the speed of the second train in km per hour.,x*5*12/18 =120,(y+x)*5*10/18 = 120+100,
A thief steals a car and drives it at 15 km/hr. The theft has been discovered after one hour and the owner of the car sets off in another car at 25 km/hr. When will the owner overtake the thief from the starting point?,25-15/15,,
A tower is 61.25 m high. A rigid body is dropped from its top and at the same instant another body is thrown up-wards from the bottom of the tower with such a velocity that they meet in the middle of the tower.The velocity of projection of the second body is:,61.25/2 = (1/2)*9.8*t*t,61.25/2 = u*t - (1/2)*9.8*t*t,
A car travels first half distance between two places with a speed of 40 km/hr and rest of the half distance with a speed of 60 km/hr. The average speed of the car is:,s/((s/2)/40 + (s/2)/60),,
"A cyclist drove one kilometre, with the wind in his back, in three minutes and drove the same way back, against the wind in four minutes. If we assume that the cyclist always puts constant force on the pedals, how much time would it take him to drive one kilometre without wind?",1/(x+y) = 3/60,1/(x-y) = 4/60,
"A ship 77 km from the shore, springs a leak which admits to 9/4 tonnes of water in 11/2 minutes. 92 tonnes of water would sink it. But the pumps can throw out 12 tonnes of water per hour. Find the average rate of sailing so that the ship may just reach the shore as it begins to sink.",,,
"A train covered a certain distance at a uniform speed. If the train had been 6 km/hr faster, it would have taken 4 hour less than the scheduled time. And, if the train were slower by 6 km/hr, the train would have taken 6 hr more than the scheduled time. The length of the journey is:",d/(s+6) = t-4,d/(s-6) = t+6,t=d/s
Two identical trains AA and BB running in opposite direction at same speed tale 2 min to cross each other completely. The number of bogies of AA are increased from 12 to 16. How much more time would they now require to cross each other?,2*60*(16-12)/(12+12),,
A boatman rows to a place 45 km distant and back in 20 hour. He finds that he can row 12 km with the stream in the same time as 4 km against the stream. Find the speed of the stream.,,,
A motorboat whose speed is 15 km/hr in still water goes 30km downstream and comes back in four and a half hours. The speed of the stream is:,30/(15+s) + 30/(15-s) = 4.5,,
"A hare, pursued by a grey-hound is 20 of her own leaps ahead of him. While the hare takes 4 leaps, the grey-hound takes 3 leaps. 3 leaps of grey-hound is equal to 2 leaps of hare. In how many leaps will the grey-hound overtake the hare?",,,
PP and QQ start running in opposite directions (towards each other) on a circular track starting at diametrically opposite points. They first meet after PP has run for 75m and then they next meet after QQ has run 100 m after their first meeting. Assume that both of them are running a constant speed.The length of the track (in metre) is:,,,
A man sitting in train travelling at the rate of 50 km/hr observes that it takes 9 sec for a goods train travelling in the opposite direction to pass him. If the goods train is 187.5m long. Find its speed,,,
"Two places AA and BB are separated by a distance of 200 m. Ajay and Jay have to start simultaneously from AA, go to BB and return to AA. In 10 s they meet at a place 10m from BB. If Ajay is faster than Jay, in how much time, after they start, will Ajay return to AA?",,,
XX and YY start walking towards each other at 10 am at speeds of 3 km/hr and 4 km/hr respectively. They were initially 17.5 km apart. At what time do they meet?,,,
"A car driver driving in fog, passes a pedestrian who was walking at the rate of 2km/h in the same direction. The pedestrian could see the car for 6 min and it was visible to him up to a distance of 0.6 km. The speed of the car would be :",,,
"Rahul can row a certain distance downstream in 6 hour and return the same distance in 9 hour. If the speed of Rahul in still water is 12 km/hr, Find the speed of the stream.",,,
"In a race, the speeds of AA and BB are in the ratio 3:43:4. AA takes 30 minutes more than BB to reach the destination. The time taken by AA to reach the destination is:",,,
"Jay started cycling along the boundaries of a square field from corner point AA. After half an hour he reached the corner point CC, diagonally opposite to AA. If his speed was 8 km/hr, the area of the filed in square km is:",,,
"Wheel of diameter 7cm and 14 cm start rolling simultaneously from XX and YY which are 1980 cm apart towards each other in opposite directions. Both of them make same number of revolutions per second. If both of them meet after 10 s, the speed of the smaller wheel is:",,,
"A monkey tries to ascend a greased pole 14 m high. He ascends 2 m in first two minutes and slips 1 m in alternate minute. If he continues to ascend in this fashion, how long does he take to reach the top?",,,
A train leaves station XX at 5am and reaches station YY at 9 am. Another train leaves station YY at 7 am and reaches station XX at 10:30 am. At what time do the two trains cross each other?,,,
A skating champion moves along the circumference of a circle of radius 28 m in 44 sec. How many seconds will it take her to move along the perimeter of a hexagon of side 48 m?,,,
"A hare sees a dog 200m away from her and scuds off in opposite direction at a speed of 24 km/hr. Two minutes later the dog perceives her and gives chase at a speed of 32 km/hr. How soon will the dog overtake the hare, and what distance from the spot from where the hare took flight?",,,
A boat covers a distance of 30 km downstream in 2 hour while it takes 6 hour to cover the same distance upstream. What is the speed of the boat in km/hr,,,
"AA and BB start running simultaneously. AA runs from point PP to point QQ and BB from point QQ to point PP. AA's speed is 6/5 of BB's speed. After crossing BB, if AA takes 5/2 hr to reach QQ, how much time does BB take to reach PPafter crossing AA?",,,
"Walking at 3/4 of his usual pace, a man reaches his office 20 minute late. Find his usual time?",,,
"A jet plane is rising vertically with a velocity of 10 m/s. It has reached a certain height when the pilot drops a coin, which takes 4 sec to hit the ground. Assuming that there is no resistance to the motion of the coin, the height of the place and the velocity of the coin on impact with the ground are:",,,
A train running at the speed of 20 m/s crosses a pole in 24 sec less than the time it requires to cross a platform thrice its length at the same speed. What is the length of the train?,,,
"If the wheel of a bicycle makes 560 revolutions in travelling 1.1 km, what is its radius?",,,
"A ship develops a leak 12 km from the shore. Despite the leak, the ship is able to move towards the shore at a speed of 8 km/hr. However, the ship can stay afloat only for 20 minutes. If a rescue vessel were to leave from the shore towards the ship and it takes 4 minutes to evacuate the crew and passengers of the ship, what should be the minimum speed of the rescue vessel in order to be able to successfully rescue the people aboard the ship?",,,
"When an object is dropped, the number of feet N that it falls is given by the formula (N=dfrac{1}{2}gt^2) where t is the time in seconds from the time it was dropped and g is 32.2. If it takes 5 seconds for the object to reach the ground, how many feet does it fall during the last 2 seconds?",,,
A train traveling at 100 kmph overtakes a motorbike traveling at 64 kmph in 40 seconds. What is the length of the train in meters?,,,
"By walking at (dfrac{3}{4}^{th}) of his usual speed, a man reaches office 20 minutes later than usual. What is his usual time?",,,
"In a 500 m race Dishu beats Abhishek by 100 m or 5 seconds. In another race on the same track at the same speeds. Abhishek and Prashant start at one end while Dishu starts at the opposite end. How many metres would Abhishek have covered, by the time Dishu meets Prashant given that Dishu's speed is 10 m/sec more than that of Prashant.",,,
The speed of a motor boat itself is 20 km/h and the rate of flow of the river is 4 km/h. Moving with the stream the boat went 120 km. What distance will the boat cover during the same time going against the stream?,,,
Ram covers a part of the journey at 20 kmph and the balance at 70 kmph taking total of 8 hours to cover the distance of 400 km. How many hours has he been driving at 20 kmph?,,,
I travel the first part of my journey at 40 kmph and the second part at 60 kmph and cover the total distance of 240 km to my destination in 5 hours. How long did the first part of my journey last?,,,
"PP and QQ walk from AA to BB, a distance of 27 km at 5 km/hr and 7 km/hr respectively. QQ reaches BB and immediately turns back meeting PP at TT. What is the distance from AA to TT?",,,
"Rajesh walks to and fro to a shopping mall. He spends 30 minutes shopping. If he walks at speed of 10 km an hour, he returns to home at 19.00 hours. If he walks at 15 km an hour, he returns to home at 18.30 hours. How fast must he walk in order to return at 18.15 hours?",,,
PP beats QQ by 5 seconds in a race of 1000 m and QQ beats RR by 5 metres in a race of 100 m. By how many seconds does PP beats RR in a race of 1000 m?,,,
A bus without stopping travels at an average speed of 60 km/hr and with stoppages at an average speed of 40 km/hr. What is the total time taken by the bus for stoppages on a route of length 300km?,,,
"Distance between the points is PP. AA man with the speed of ss and reaches the other point late by 2 hours. Calculated the speed with which the man has to travel to reach in time, where t is the actual time.",,,
"The speed of a bus during the second hour of its journey is twice that in the first hour. Also, its speed during the third hour is two-third the sum of its speeds in the first two hours. Had the bus travelled for three hours at the speed of the first hour, it would have travelled 120 km less. Find the average speed of the bus for the first three hours.",,,
"Arun, Barun and Kiranmala start from the same place and travel in the same direction at speeds of 30, 40 and 60 km per hour respectively. Barun starts two hours after Arun. If Barun and Kiranmala overtake Arun at the same instant, how many hours after Arun did Kiranmala start?",,,
"Karan and Arjun run a 100-meter race, where Karan beats Arjun 10 metres. To do a favour to Arjun, Karan starts 10 metres behind the starting line in a second 100 metre race. They both run at their earlier speeds. Which of the following is true in connection with the second race?",,,
"Starting from my office, I reach the house 20 min late if I walk at 3kmph. Instead, if I walk at 4 kmph, I reach the house 15 min early. How far is my house from my office?",,,
"Two boats, traveling at 5 and 10 kms per hour, head directly towards each other. They begin at a distance of 20 kms from each other. How far apart are they (in kms) one minute before they collide?",,,
A bus overtakes two boys who are walking in the direction of the bus at 2 km/hr and 4 km/hr in 9 sec and 10 sec respectively. The length of the bus and its speed are:,,,
"In a kilometer race, If Abhishek gives Bharti a 40 m start, Abhishek wins by 19 sec. But if Abhishek gives Bharti a 30 sec start, Bharti wins by 40 m. Find the time taken by Bharti to run 5,000 m?",,,
"A ball is projected vertically up-wards reaches, at the end of 'tt' seconds, an elevation of 'ss' feet where s=160t−16t2s=160t−16t2. The highest elevation is",,,
"A man jogging inside a railway tunnel at a constant speed hears a train approaching the tunnel from behind at a speed of 30 km/h, when he is one third of the way inside the tunnel. Whether he keeps running forward or turns back, he will reach the end of the tunnel at the same time the train reaches that end. The speed at which the man is running is:",,,
"A boat goes 30 km. upstream and 44 km. downstream in 10 hours. In 13 hours, it can go 40 km upstream and 55 km down-stream. The speed of the boat in still water is:",,,
"A passenger train covers the distance between stations XX and YY, 50 minutes faster than a goods train. Find this distance if the average speed of the passenger train is 60 kmph and that of goods train is 20 kmph",,,
"A train left station XX at AA hour BB minutes. It reached station YY at BB hour CC minutes on the same day, after travelling CC hours AA minutes (clock shows time from 0 hours to 24 hours). Number of possible value(s) of AA is:",,,
"Two cities, AA and BB, at a distance of 50 km, are connected by two separate roads. The speed of any vehicle traveling between the two cities on road 1 is 50 km/hr, while the speed on road 2 is (80/n80/n) km/hr, where nn is the number of vehicles (including the concerned vehicle). If you travel in a vehicle from AA to BB on road 1 and come back from BB to AA on road 2 (where there are already three vehicles plying), your approximate average speed is:",,,
Jim travels the first 3 hours of his journey at 60 mph speed and the remaining 5 hours at 24 mph speed. What is the average speed of Jim's travel in mph?,,,
"If a man cycles at 10 km/hr, then he arrives at a certain place at 1 p.m. If he cycles at 15 km/hr, he will arrive at the same place at 11 a.m. At what speed must he cycle to get there at noon?",,,
"The Ghaziabad-Hapur-Meerut EMU and the Meerut-Hapur-Ghaziabad EMU start at the same time from Ghaziabad and Meerut and proceed towards each other at 16 km/hr and 21 km/hr respectively. When they meet, it is found that one train has travelled 60 km more than the other. The distance between two stations is:",,,
Dexter and Prexter are competing with each other in a friendly community competition in a pool of 50 m length and the race is for 1000 m. Dexter crosses 50 m in 2 min and Prexter in 3 min 15 sec.,,,
A ball is thrown twice from a place with the gap of 34 minutes between the two shots. A person approaching this point in a bus heard the second shot 33 minutes after he heard the first shot. What is the speed of bus (in kmph) if sound travels at 330 m/s?,,,
"A man and a woman 81 miles apart from each other, start travelling towards each other at the same time. If the man covers 5 miles per hour to the women's 4 miles per hour, how far will the woman have travelled when they meet?",,,
"Three friends AA, BB and CC run around a circular track of length 120 metres at speeds of 5 m/s, 7 m/sec and 15 m/sec, starting simultaneously from the same point and in the same direction. How often will the three of them meet?",,,
A man can row 50 km upstream and 72 km downstream in 9 hours. He can also row 70 km upstream and 90 km downstream in 12 hours. Find the rate of current.,,,
"Two boys begin together to write out a booklet containing 535 lines. The first boy starts with the first line, writing at the rate of 100 lines an hour; and the second starts with the last line then writes line 534 and so on, backward proceeding at the rate of 50 lines an hour. At what line will they meet?",,,
"Two friends AA and BB run around a circular track of length 510 metres, starting from the same point, simultaneously and in the same direction. AA who runs faster laps BB in the middle of the 5th5th round. If AA and BB were to run a 3 km race long race, how much start, in terms of distance, should AA give BB so that they finish the race in a dead heat?",,,
"Yana and Gupta leave points xx and yy towards yy and xx respectively simultaneously and travel in the same route. After meeting each other on the way, Yana takes 4 hours to reach her destination, while Gupta takes 9 hours to reach his destination. If the speed of Yana is 48 km/hr, what is the speed of Gupta?",,,
"Twenty six men - 1,2,3,....25 and 26 participate in 10km running race on a circular track of length 100m. All of them start at the same time, from the same point and run in the same direction. Their speeds, taken in the order, are in increasing APAP. The time taken by 26 to meet 1, for the first time after they start is 20 sec and the time taken by 13 to complete the race is 52 minutes and 5 seconds. Find the time taken (in seconds), for all the twenty six men to meet for the first time at the starting point.",,,
A man driving his bike at 24 kmph reaches his office 5 minutes late. Had he driven 2525 faster on an average he would have reached 4 minutes earlier than the scheduled time. How far is his office?,,,
"Two motorists Anil and Sunil are practicing with two different sports car; Ferrari and Maclarun, on the circular racing track, for the car racing tournament to be held next month. Both Anil and Sunil start from the same point on the circular track. Anil completes one round of the track in 1 min and Sunil takes 2 min to complete a round. While Anil maintains speed for all the rounds, Sunil halves his speed after the completion of each round. How many times Anil and Sunil will meet between 6th round and 9th round of Sunil (6th and 9th round is excluded)? Assume that the speed of Sunil remains steady throughout each round and changes only after the completion of that round",,,
The XYZXYZ river flows at 12 km/hr. A boy who can row at 25182518 m/s in still water had to cross it in the least possible time. The distance covered by the boy is how many times the width of the river XYZXYZ?,,,
"In a 3600 m race around a circular track of length 400m, the faster runner and the slowest runner meet at the end of the fourth minute, for the first time after the start of the race. All the runners maintain uniform speed throughout the race. If the faster runner runs at thrice the speed of the slowest runner. Find the time taken by the faster runner to finish the race.",,,
"In an industry, the raw materials and the finished goods are transported on the conveyor belt. There are two conveyor belt, one for carrying parts from PP to point QQ and another for carrying parts from RR to point QQ. PP, QQ and RR in that order are in a straight line. Sometimes, the belt serves to transport cart, which can themselves move with respect to the belts. The two belts move at a speed of 0.5 m/s and the cart move at a uniform speed of 2 m/s with respect to the belts. A cart goes from point PP to RR and back to PP taking a total of 64 s. Find the distance PRPR in meters. Assume that the time taken by the cart to turn back at RR is negligible?",,,
"PP and QQ travels from DD to AA and break journey at MM in between. Somewhere between DD and MM, PP asks ""how far have we travelled?"" QQ replies, ""Half as far as the distance from here to MM"". Somewhere between MM and AA, exactly 300 km from the point where PP asks the first question, ""How far have we to go?"" QQ replies, ""Half as far as the distance from MM to here"". The distance between DD and AA is:",,,
"From a point PP, on the surface of radius 3 cm, two cockroaches AA and BB started moving along two different circular paths, each having the maximum possible radius, on the surface of the sphere, that lie in the two different planes which are inclined at an angle of 45 degree to each other. If AA and BB takes 18 sec and 6 sec respectively, to complete one revolution along their respective circular paths, then after how much time will they meet again, after they start from PP?",,,
"AA, BB and CC start simultaneously from XX to YY. AA reaches YY, turns back and meet BB at a distance of 11 km from YY. BB reached YY, turns back and meet CC at a distance of 9 km from YY. If the ratio of the speeds of AA and CC is 3:23:2, what is the distance between XX and YY?",,,
"Laila drives to the station each day to pick up her husband Majnu, who usually arrives on a train at 6 o’clock. Last Monday, Majnu finished work earlier, caught an earlier train and arrived at the station at 5 ‘o clock. He started to walk home and eventually met Laila who drove him the rest of the way, getting home 20 minutes earlier than usual. On Tuesday, he again finished early and found himself at the station at 5:30. Again he began to walk home, again he met Laila on the way, and she drove him home the rest of the way, Assume constant speed throughout with no wasted time for waiting, backing of the car etc. How earlier than the usual time were they home on Tuesday?",,,
"Three athletes AA, BB and CC run a race, BB finished 24 meters ahead of CC and 36 m ahead of AA, while CC finished 16 m ahead of AA. If each athlete runs the entire distance at their respective constant speeds, what is the length of the race?",,,
"Mukesh, Suresh and Dinesh travel from Delhi to Mathura to attend Janmashtmi Utsav. They have a bike which can carry only two riders at a time as per traffic rules. Bike can be driven only by Mukesh. Mathura is 300 km from Delhi. All of them walk at 15 km/h. All of them start their journey from Delhi simultaneously and are required to reach Mathura at the same time. If the speed of bike is 60km/h, then what is the shortest possible time in which all three can reach Mathura at the same time?",,,
